participant,type,day,phase,percentage
25,metaphorical,20,WD,3.783742796
26,metaphorical,1,BL,42.15121459
26,metaphorical,2,BL,41.85108806
26,metaphorical,3,BL,39.16330388
26,metaphorical,4,BL,66.65898485
26,metaphorical,5,BL,22.54190254
26,metaphorical,6,IV,37.18448986
26,metaphorical,7,IV,11.68790272
26,metaphorical,8,IV,1.10247124
26,metaphorical,9,IV,28.82189653
26,metaphorical,10,IV,30.69660408
26,metaphorical,11,IV,1.74451891
26,metaphorical,12,IV,52.96214896
26,metaphorical,13,IV,2.057560248
26,metaphorical,14,IV,4.023774146
26,metaphorical,15,IV,37.92032209
26,metaphorical,16,WD,40.35369775
26,metaphorical,17,WD,39.48499628
26,metaphorical,18,WD,3.214947615
26,metaphorical,19,WD,20.36820952
26,metaphorical,20,WD,29.7157005
27,simile,1,BL,0.573016149
27,simile,2,BL,
27,simile,3,BL,
27,simile,4,BL,8.131770292
27,simile,5,BL,2.778844923
27,simile,6,IV,24.54455712
27,simile,7,IV,
27,simile,8,IV,93.14888011
27,simile,9,IV,98.88111888
27,simile,10,IV,2.959394357
27,simile,11,IV,8.384188627
27,simile,12,IV,
27,simile,13,IV,4.166666667
27,simile,14,IV,0
27,simile,15,IV,6.141658169
27,simile,16,WD,0
27,simile,17,WD,2.447163515
27,simile,18,WD,57.38712263
27,simile,19,WD,7.140163419
27,simile,20,WD,2.584473049
28,simile,1,BL,0
28,simile,2,BL,0
28,simile,3,BL,0
28,simile,4,BL,0.022028858
28,simile,5,BL,0
28,simile,6,IV,0
28,simile,7,IV,0
28,simile,8,IV,
28,simile,9,IV,0.359602142
28,simile,10,IV,0
28,simile,11,IV,0
28,simile,12,IV,0
28,simile,13,IV,0
28,simile,14,IV,0
28,simile,15,IV,0
28,simile,16,WD,0
28,simile,17,WD,0
28,simile,18,WD,0
28,simile,19,WD,0
28,simile,20,WD,0
29,simile,1,BL,18.20376331
29,simile,2,BL,0
29,simile,3,BL,0
29,simile,4,BL,0
29,simile,5,BL,11.93647993
29,simile,6,IV,4.751075599
29,simile,7,IV,0.307999667
29,simile,8,IV,12.77722906
29,simile,9,IV,5.244144039
29,simile,10,IV,0
29,simile,11,IV,24.63222518
29,simile,12,IV,13.01131593
29,simile,13,IV,28.88985381
29,simile,14,IV,0
29,simile,15,IV,53.39633234
29,simile,16,WD,37.28553137
29,simile,17,WD,
29,simile,18,WD,
29,simile,19,WD,
29,simile,20,WD,
30,metaphorical,1,BL,14.0370964
30,metaphorical,2,BL,20.98779175
30,metaphorical,3,BL,19.67648174
30,metaphorical,4,BL,19.0251519
30,metaphorical,5,BL,16.7567968
30,metaphorical,6,IV,8.950775871
30,metaphorical,7,IV,0.520724849
30,metaphorical,8,IV,2.02577128
30,metaphorical,9,IV,9.216654905
30,metaphorical,10,IV,3.906633907
30,metaphorical,11,IV,3.780623047
30,metaphorical,12,IV,6.184638825
30,metaphorical,13,IV,6.223669092
30,metaphorical,14,IV,18.09015421
30,metaphorical,15,IV,1.727278437
30,metaphorical,16,WD,8.589430372
30,metaphorical,17,WD,1.249081558
30,metaphorical,18,WD,9.131720714
30,metaphorical,19,WD,0.345001078
30,metaphorical,20,WD,14.22730989
31,simile,1,BL,0.231458187
31,simile,2,BL,0
31,simile,3,BL,1.111111111
31,simile,4,BL,0
31,simile,5,BL,
31,simile,6,IV,0.413701804
